description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
	1			0	18	70	6		1	s19							"usetype,qty=5"																													r19																																																										0
	1			0	18	70	7		1	s19							"usetype,qty=6"																													r19																																																										0
	1			0	18	70	8		1	s19							"usetype,qty=7"																													r19																																																										0
	1			0	18	70	9		1	s19							"usetype,qty=8"																													r19																																																										0
	1			0	18	70	10		1	s19							"usetype,qty=9"																													r19																																																										0
	1			0	18	70	11		1	s19							"usetype,qty=10"																													r19																																																										0
	1			0	18	70	12		1	s19							"usetype,qty=11"																													r19																																																										0
	1			0	18	70	13		1	s19							"usetype,qty=12"																													r19																																																										0
	1			0	18	70	14		1	s19							"usetype,qty=13"																													r19																																																										0
	1			0	18	70	15		1	s19							"usetype,qty=14"																													r19																																																										0
	1			0	18	70	16		1	s19							"usetype,qty=15"																													r19																																																										0
	1			0	18	70	17		1	s19							"usetype,qty=16"																													r19																																																										0
	1			0	18	70	18		1	s19							"usetype,qty=17"																													r19																																																										0
	1			0	18	70	19		1	s19							"usetype,qty=18"																													r19																																																										0
	1			0	18	70	20		1	s19							"usetype,qty=19"																													r19																																																										0
	1			0	18	70	21		1	s19							"usetype,qty=20"																													r19																																																										0
	1			0	18	70	22		1	s19							"usetype,qty=21"																													r19																																																										0
	1			0	18	70	23		1	s19							"usetype,qty=22"																													r19																																																										0
	1			0	18	70	24		1	s19							"usetype,qty=23"																													r19																																																										0
	1			0	18	70	25		1	s19							"usetype,qty=24"																													r19																																																										0
	1			0	18	70	26		1	s19							"usetype,qty=25"																													r19																																																										0
	1			0	18	70	27		1	s19							"usetype,qty=26"																													r19																																																										0
	1			0	18	70	28		1	s19							"usetype,qty=27"																													r19																																																										0
	1			0	18	70	29		1	s19							"usetype,qty=28"																													r19																																																										0
	1			0	18	70	30		1	s19							"usetype,qty=29"																													r19																																																										0
	1			0	18	70	31		1	s19							"usetype,qty=30"																													r19																																																										0
	1			0	18	70	32		1	s19							"usetype,qty=31"																													r19																																																										0
	1			0	18	70	33		1	s19							"usetype,qty=32"																													r19																																																										0
	1			0	18	70	34		1	s19							"usetype,qty=33"																													r19																																																										0
	1			0	18	70	35		1	s19							"usetype,qty=34"																													r19																																																										0
	1			0	18	70	36		1	s19							"usetype,qty=35"																													r19																																																										0
	1			0	18	70	37		1	s19							"usetype,qty=36"																													r19																																																										0
	1			0	18	70	38		1	s19							"usetype,qty=37"																													r19																																																										0
	1			0	18	70	39		1	s19							"usetype,qty=38"																													r19																																																										0
	1			0	18	70	40		1	s19							"usetype,qty=39"																													r19																																																										0
	1			0	18	70	41		1	s19							"usetype,qty=40"																													r19																																																										0
	1			0	18	70	42		1	s19							"usetype,qty=41"																													r19																																																										0
	1			0	18	70	43		1	s19							"usetype,qty=42"																													r19																																																										0
	1			0	18	70	44		1	s19							"usetype,qty=43"																													r19																																																										0
	1			0	18	70	45		1	s19							"usetype,qty=44"																													r19																																																										0
	1			0	18	70	46		1	s19							"usetype,qty=45"																													r19																																																										0
	1			0	18	70	47		1	s19							"usetype,qty=46"																													r19																																																										0
	1			0	18	70	48		1	s19							"usetype,qty=47"																													r19																																																										0
	1			0	18	70	49		1	s19							"usetype,qty=48"																													r19																																																										0
	1			0	18	70	50		1	s19							"usetype,qty=49"																													r19																																																										0
	1			0	18	70	2		1	s20							"usetype,qty=1"																													r20																																																										0
	1			0	18	70	3		1	s20							"usetype,qty=2"																													r20																																																										0
	1			0	18	70	4		1	s20							"usetype,qty=3"																													r20																																																										0
	1			0	18	70	5		1	s20							"usetype,qty=4"																													r20																																																										0
	1			0	18	70	6		1	s20							"usetype,qty=5"																													r20																																																										0
	1			0	18	70	7		1	s20							"usetype,qty=6"																													r20																																																										0
	1			0	18	70	8		1	s20							"usetype,qty=7"																													r20																																																										0
	1			0	18	70	9		1	s20							"usetype,qty=8"																													r20																																																										0
	1			0	18	70	10		1	s20							"usetype,qty=9"																													r20																																																										0
	1			0	18	70	11		1	s20							"usetype,qty=10"																													r20																																																										0
	1			0	18	70	12		1	s20							"usetype,qty=11"																													r20																																																										0
	1			0	18	70	13		1	s20							"usetype,qty=12"																													r20																																																										0
	1			0	18	70	14		1	s20							"usetype,qty=13"																													r20																																																										0
	1			0	18	70	15		1	s20							"usetype,qty=14"																													r20																																																										0
	1			0	18	70	16		1	s20							"usetype,qty=15"																													r20																																																										0
	1			0	18	70	17		1	s20							"usetype,qty=16"																													r20																																																										0
	1			0	18	70	18		1	s20							"usetype,qty=17"																													r20																																																										0
	1			0	18	70	19		1	s20							"usetype,qty=18"																													r20																																																										0
	1			0	18	70	20		1	s20							"usetype,qty=19"																													r20																																																										0
	1			0	18	70	21		1	s20							"usetype,qty=20"																													r20																																																										0
	1			0	18	70	22		1	s20							"usetype,qty=21"																													r20																																																										0
	1			0	18	70	23		1	s20							"usetype,qty=22"																													r20																																																										0
	1			0	18	70	24		1	s20							"usetype,qty=23"																													r20																																																										0
	1			0	18	70	25		1	s20							"usetype,qty=24"																													r20																																																										0
	1			0	18	70	26		1	s20							"usetype,qty=25"																													r20																																																										0
	1			0	18	70	27		1	s20							"usetype,qty=26"																													r20																																																										0
	1			0	18	70	28		1	s20							"usetype,qty=27"																													r20																																																										0
	1			0	18	70	29		1	s20							"usetype,qty=28"																													r20																																																										0
	1			0	18	70	30		1	s20							"usetype,qty=29"																													r20																																																										0
	1			0	18	70	31		1	s20							"usetype,qty=30"																													r20																																																										0
	1			0	18	70	32		1	s20							"usetype,qty=31"																													r20																																																										0
	1			0	18	70	33		1	s20							"usetype,qty=32"																													r20																																																										0
	1			0	18	70	34		1	s20							"usetype,qty=33"																													r20																																																										0
	1			0	18	70	35		1	s20							"usetype,qty=34"																													r20																																																										0
	1			0	18	70	36		1	s20							"usetype,qty=35"																													r20																																																										0
	1			0	18	70	37		1	s20							"usetype,qty=36"																													r20																																																										0
	1			0	18	70	38		1	s20							"usetype,qty=37"																													r20																																																										0
	1			0	18	70	39		1	s20							"usetype,qty=38"																													r20																																																										0
	1			0	18	70	40		1	s20							"usetype,qty=39"																													r20																																																										0
	1			0	18	70	41		1	s20							"usetype,qty=40"																													r20																																																										0
	1			0	18	70	42		1	s20							"usetype,qty=41"																													r20																																																										0
	1			0	18	70	43		1	s20							"usetype,qty=42"																													r20																																																										0
	1			0	18	70	44		1	s20							"usetype,qty=43"																													r20																																																										0
	1			0	18	70	45		1	s20							"usetype,qty=44"																													r20																																																										0
	1			0	18	70	46		1	s20							"usetype,qty=45"																													r20																																																										0
	1			0	18	70	47		1	s20							"usetype,qty=46"																													r20																																																										0
	1			0	18	70	48		1	s20							"usetype,qty=47"																													r20																																																										0
	1			0	18	70	49		1	s20							"usetype,qty=48"																													r20																																																										0
	1			0	18	70	50		1	s20							"usetype,qty=49"																													r20																																																										0
	1			0	18	70	2		1	s21							"usetype,qty=1"																													r21																																																										0
	1			0	18	70	3		1	s21							"usetype,qty=2"																													r21																																																										0
	1			0	18	70	4		1	s21							"usetype,qty=3"																													r21																																																										0
	1			0	18	70	5		1	s21							"usetype,qty=4"																													r21																																																										0
	1			0	18	70	6		1	s21							"usetype,qty=5"																													r21																																																										0
	1			0	18	70	7		1	s21							"usetype,qty=6"																													r21																																																										0
	1			0	18	70	8		1	s21							"usetype,qty=7"																													r21																																																										0
	1			0	18	70	9		1	s21							"usetype,qty=8"																													r21																																																										0
	1			0	18	70	10		1	s21							"usetype,qty=9"																													r21																																																										0
	1			0	18	70	11		1	s21							"usetype,qty=10"																													r21																																																										0
	1			0	18	70	12		1	s21							"usetype,qty=11"																													r21																																																										0
	1			0	18	70	13		1	s21							"usetype,qty=12"																													r21																																																										0
	1			0	18	70	14		1	s21							"usetype,qty=13"																													r21																																																										0
	1			0	18	70	15		1	s21							"usetype,qty=14"																													r21																																																										0
	1			0	18	70	16		1	s21							"usetype,qty=15"																													r21																																																										0
	1			0	18	70	17		1	s21							"usetype,qty=16"																													r21																																																										0
	1			0	18	70	18		1	s21							"usetype,qty=17"																													r21																																																										0
	1			0	18	70	19		1	s21							"usetype,qty=18"																													r21																																																										0
	1			0	18	70	20		1	s21							"usetype,qty=19"																													r21																																																										0
	1			0	18	70	21		1	s21							"usetype,qty=20"																													r21																																																										0
	1			0	18	70	22		1	s21							"usetype,qty=21"																													r21																																																										0
	1			0	18	70	23		1	s21							"usetype,qty=22"																													r21																																																										0
	1			0	18	70	24		1	s21							"usetype,qty=23"																													r21																																																										0
	1			0	18	70	25		1	s21							"usetype,qty=24"																													r21																																																										0
	1			0	18	70	26		1	s21							"usetype,qty=25"																													r21																																																										0
	1			0	18	70	27		1	s21							"usetype,qty=26"																													r21																																																										0
	1			0	18	70	28		1	s21							"usetype,qty=27"																													r21																																																										0
	1			0	18	70	29		1	s21							"usetype,qty=28"																													r21																																																										0
	1			0	18	70	30		1	s21							"usetype,qty=29"																													r21																																																										0
	1			0	18	70	31		1	s21							"usetype,qty=30"																													r21																																																										0
	1			0	18	70	32		1	s21							"usetype,qty=31"																													r21																																																										0
	1			0	18	70	33		1	s21							"usetype,qty=32"																													r21																																																										0
	1			0	18	70	34		1	s21							"usetype,qty=33"																													r21																																																										0
	1			0	18	70	35		1	s21							"usetype,qty=34"																													r21																																																										0
	1			0	18	70	36		1	s21							"usetype,qty=35"																													r21																																																										0
	1			0	18	70	37		1	s21							"usetype,qty=36"																													r21																																																										0
	1			0	18	70	38		1	s21							"usetype,qty=37"																													r21																																																										0
	1			0	18	70	39		1	s21							"usetype,qty=38"																													r21																																																										0
	1			0	18	70	40		1	s21							"usetype,qty=39"																													r21																																																										0
	1			0	18	70	41		1	s21							"usetype,qty=40"																													r21																																																										0
	1			0	18	70	42		1	s21							"usetype,qty=41"																													r21																																																										0
	1			0	18	70	43		1	s21							"usetype,qty=42"																													r21																																																										0
	1			0	18	70	44		1	s21							"usetype,qty=43"																													r21																																																										0
	1			0	18	70	45		1	s21							"usetype,qty=44"																													r21																																																										0
	1			0	18	70	46		1	s21							"usetype,qty=45"																													r21																																																										0
	1			0	18	70	47		1	s21							"usetype,qty=46"																													r21																																																										0
	1			0	18	70	48		1	s21							"usetype,qty=47"																													r21																																																										0
	1			0	18	70	49		1	s21							"usetype,qty=48"																													r21																																																										0
	1			0	18	70	50		1	s21							"usetype,qty=49"																													r21																																																										0
	1			0	18	70	2		1	s22							"usetype,qty=1"																													r22																																																										0
	1			0	18	70	3		1	s22							"usetype,qty=2"																													r22																																																										0
	1			0	18	70	4		1	s22							"usetype,qty=3"																													r22																																																										0
	1			0	18	70	5		1	s22							"usetype,qty=4"																													r22																																																										0
	1			0	18	70	6		1	s22							"usetype,qty=5"																													r22																																																										0
	1			0	18	70	7		1	s22							"usetype,qty=6"																													r22																																																										0
	1			0	18	70	8		1	s22							"usetype,qty=7"																													r22																																																										0
	1			0	18	70	9		1	s22							"usetype,qty=8"																													r22																																																										0
	1			0	18	70	10		1	s22							"usetype,qty=9"																													r22																																																										0
	1			0	18	70	11		1	s22							"usetype,qty=10"																													r22																																																										0
	1			0	18	70	12		1	s22							"usetype,qty=11"																													r22																																																										0
	1			0	18	70	13		1	s22							"usetype,qty=12"																													r22																																																										0
	1			0	18	70	14		1	s22							"usetype,qty=13"																													r22																																																										0
	1			0	18	70	15		1	s22							"usetype,qty=14"																													r22																																																										0
	1			0	18	70	16		1	s22							"usetype,qty=15"																													r22																																																										0
	1			0	18	70	17		1	s22							"usetype,qty=16"																													r22																																																										0
	1			0	18	70	18		1	s22							"usetype,qty=17"																													r22																																																										0
	1			0	18	70	19		1	s22							"usetype,qty=18"																													r22																																																										0
	1			0	18	70	20		1	s22							"usetype,qty=19"																													r22																																																										0
	1			0	18	70	21		1	s22							"usetype,qty=20"																													r22																																																										0
	1			0	18	70	22		1	s22							"usetype,qty=21"																													r22																																																										0
	1			0	18	70	23		1	s22							"usetype,qty=22"																													r22																																																										0
	1			0	18	70	24		1	s22							"usetype,qty=23"																													r22																																																										0
	1			0	18	70	25		1	s22							"usetype,qty=24"																													r22																																																										0
	1			0	18	70	26		1	s22							"usetype,qty=25"																													r22																																																										0
	1			0	18	70	27		1	s22							"usetype,qty=26"																													r22																																																										0
	1			0	18	70	28		1	s22							"usetype,qty=27"																													r22																																																										0
	1			0	18	70	29		1	s22							"usetype,qty=28"																													r22																																																										0
	1			0	18	70	30		1	s22							"usetype,qty=29"																													r22																																																										0
	1			0	18	70	31		1	s22							"usetype,qty=30"																													r22																																																										0
	1			0	18	70	32		1	s22							"usetype,qty=31"																													r22																																																										0
	1			0	18	70	33		1	s22							"usetype,qty=32"																													r22																																																										0
	1			0	18	70	34		1	s22							"usetype,qty=33"																													r22																																																										0
	1			0	18	70	35		1	s22							"usetype,qty=34"																													r22																																																										0
	1			0	18	70	36		1	s22							"usetype,qty=35"																													r22																																																										0
	1			0	18	70	37		1	s22							"usetype,qty=36"																													r22																																																										0
	1			0	18	70	38		1	s22							"usetype,qty=37"																													r22																																																										0
	1			0	18	70	39		1	s22							"usetype,qty=38"																													r22																																																										0
	1			0	18	70	40		1	s22							"usetype,qty=39"																													r22																																																										0
	1			0	18	70	41		1	s22							"usetype,qty=40"																													r22																																																										0
	1			0	18	70	42		1	s22							"usetype,qty=41"																													r22																																																										0
	1			0	18	70	43		1	s22							"usetype,qty=42"																													r22																																																										0
	1			0	18	70	44		1	s22							"usetype,qty=43"																													r22																																																										0
	1			0	18	70	45		1	s22							"usetype,qty=44"																													r22																																																										0
	1			0	18	70	46		1	s22							"usetype,qty=45"																													r22																																																										0
	1			0	18	70	47		1	s22							"usetype,qty=46"																													r22																																																										0
	1			0	18	70	48		1	s22							"usetype,qty=47"																													r22																																																										0
	1			0	18	70	49		1	s22							"usetype,qty=48"																													r22																																																										0
	1			0	18	70	50		1	s22							"usetype,qty=49"																													r22																																																										0
	1			0	18	70	2		1	s23							"usetype,qty=1"																													r23																																																										0
	1			0	18	70	3		1	s23							"usetype,qty=2"																													r23																																																										0
	1			0	18	70	4		1	s23							"usetype,qty=3"																													r23																																																										0
	1			0	18	70	5		1	s23							"usetype,qty=4"																													r23																																																										0
	1			0	18	70	6		1	s23							"usetype,qty=5"																													r23																																																										0
	1			0	18	70	7		1	s23							"usetype,qty=6"																													r23																																																										0
	1			0	18	70	8		1	s23							"usetype,qty=7"																													r23																																																										0
	1			0	18	70	9		1	s23							"usetype,qty=8"																													r23																																																										0
	1			0	18	70	10		1	s23							"usetype,qty=9"																													r23																																																										0
	1			0	18	70	11		1	s23							"usetype,qty=10"																													r23																																																										0
	1			0	18	70	12		1	s23							"usetype,qty=11"																													r23																																																										0
	1			0	18	70	13		1	s23							"usetype,qty=12"																													r23																																																										0
	1			0	18	70	14		1	s23							"usetype,qty=13"																													r23																																																										0
	1			0	18	70	15		1	s23							"usetype,qty=14"																													r23																																																										0
	1			0	18	70	16		1	s23							"usetype,qty=15"																													r23																																																										0
	1			0	18	70	17		1	s23							"usetype,qty=16"																													r23																																																										0
	1			0	18	70	18		1	s23							"usetype,qty=17"																													r23																																																										0
	1			0	18	70	19		1	s23							"usetype,qty=18"																													r23																																																										0
	1			0	18	70	20		1	s23							"usetype,qty=19"																													r23																																																										0
	1			0	18	70	21		1	s23							"usetype,qty=20"																													r23																																																										0
	1			0	18	70	22		1	s23							"usetype,qty=21"																													r23																																																										0
	1			0	18	70	23		1	s23							"usetype,qty=22"																													r23																																																										0
	1			0	18	70	24		1	s23							"usetype,qty=23"																													r23																																																										0
	1			0	18	70	25		1	s23							"usetype,qty=24"																													r23																																																										0
	1			0	18	70	26		1	s23							"usetype,qty=25"																													r23																																																										0
	1			0	18	70	27		1	s23							"usetype,qty=26"																													r23																																																										0
	1			0	18	70	28		1	s23							"usetype,qty=27"																													r23																																																										0
	1			0	18	70	29		1	s23							"usetype,qty=28"																													r23																																																										0
	1			0	18	70	30		1	s23							"usetype,qty=29"																													r23																																																										0
	1			0	18	70	31		1	s23							"usetype,qty=30"																													r23																																																										0
	1			0	18	70	32		1	s23							"usetype,qty=31"																													r23																																																										0
	1			0	18	70	33		1	s23							"usetype,qty=32"																													r23																																																										0
	1			0	18	70	34		1	s23							"usetype,qty=33"																													r23																																																										0
	1			0	18	70	35		1	s23							"usetype,qty=34"																													r23																																																										0
	1			0	18	70	36		1	s23							"usetype,qty=35"																													r23																																																										0
	1			0	18	70	37		1	s23							"usetype,qty=36"																													r23																																																										0
	1			0	18	70	38		1	s23							"usetype,qty=37"																													r23																																																										0
	1			0	18	70	39		1	s23							"usetype,qty=38"																													r23																																																										0
	1			0	18	70	40		1	s23							"usetype,qty=39"																													r23																																																										0
	1			0	18	70	41		1	s23							"usetype,qty=40"																													r23																																																										0
	1			0	18	70	42		1	s23							"usetype,qty=41"																													r23																																																										0
	1			0	18	70	43		1	s23							"usetype,qty=42"																													r23																																																										0
	1			0	18	70	44		1	s23							"usetype,qty=43"																													r23																																																										0
	1			0	18	70	45		1	s23							"usetype,qty=44"																													r23																																																										0
	1			0	18	70	46		1	s23							"usetype,qty=45"																													r23																																																										0
	1			0	18	70	47		1	s23							"usetype,qty=46"																													r23																																																										0
	1			0	18	70	48		1	s23							"usetype,qty=47"																													r23																																																										0
	1			0	18	70	49		1	s23							"usetype,qty=48"																													r23																																																										0
	1			0	18	70	50		1	s23							"usetype,qty=49"																													r23																																																										0
	1			0	18	70	2		1	s24							"usetype,qty=1"																													r24																																																										0
	1			0	18	70	3		1	s24							"usetype,qty=2"																													r24																																																										0
	1			0	18	70	4		1	s24							"usetype,qty=3"																													r24																																																										0
	1			0	18	70	5		1	s24							"usetype,qty=4"																													r24																																																										0
	1			0	18	70	6		1	s24							"usetype,qty=5"																													r24																																																										0
	1			0	18	70	7		1	s24							"usetype,qty=6"																													r24																																																										0
	1			0	18	70	8		1	s24							"usetype,qty=7"																													r24																																																										0
	1			0	18	70	9		1	s24							"usetype,qty=8"																													r24																																																										0
	1			0	18	70	10		1	s24							"usetype,qty=9"																													r24																																																										0
	1			0	18	70	11		1	s24							"usetype,qty=10"																													r24																																																										0
	1			0	18	70	12		1	s24							"usetype,qty=11"																													r24																																																										0
	1			0	18	70	13		1	s24							"usetype,qty=12"																													r24																																																										0
	1			0	18	70	14		1	s24							"usetype,qty=13"																													r24																																																										0
	1			0	18	70	15		1	s24							"usetype,qty=14"																													r24																																																										0
	1			0	18	70	16		1	s24							"usetype,qty=15"																													r24																																																										0
	1			0	18	70	17		1	s24							"usetype,qty=16"																													r24																																																										0
	1			0	18	70	18		1	s24							"usetype,qty=17"																													r24																																																										0
	1			0	18	70	19		1	s24							"usetype,qty=18"																													r24																																																										0
	1			0	18	70	20		1	s24							"usetype,qty=19"																													r24																																																										0
	1			0	18	70	21		1	s24							"usetype,qty=20"																													r24																																																										0
	1			0	18	70	22		1	s24							"usetype,qty=21"																													r24																																																										0
	1			0	18	70	23		1	s24							"usetype,qty=22"																													r24																																																										0
	1			0	18	70	24		1	s24							"usetype,qty=23"																													r24																																																										0
	1			0	18	70	25		1	s24							"usetype,qty=24"																													r24																																																										0
	1			0	18	70	26		1	s24							"usetype,qty=25"																													r24																																																										0
	1			0	18	70	27		1	s24							"usetype,qty=26"																													r24																																																										0
	1			0	18	70	28		1	s24							"usetype,qty=27"																													r24																																																										0
	1			0	18	70	29		1	s24							"usetype,qty=28"																													r24																																																										0
	1			0	18	70	30		1	s24							"usetype,qty=29"																													r24																																																										0
	1			0	18	70	31		1	s24							"usetype,qty=30"																													r24																																																										0
	1			0	18	70	32		1	s24							"usetype,qty=31"																													r24																																																										0
	1			0	18	70	33		1	s24							"usetype,qty=32"																													r24																																																										0
	1			0	18	70	34		1	s24							"usetype,qty=33"																													r24																																																										0
	1			0	18	70	35		1	s24							"usetype,qty=34"																													r24																																																										0
	1			0	18	70	36		1	s24							"usetype,qty=35"																													r24																																																										0
	1			0	18	70	37		1	s24							"usetype,qty=36"																													r24																																																										0
	1			0	18	70	38		1	s24							"usetype,qty=37"																													r24																																																										0
	1			0	18	70	39		1	s24							"usetype,qty=38"																													r24																																																										0
	1			0	18	70	40		1	s24							"usetype,qty=39"																													r24																																																										0
	1			0	18	70	41		1	s24							"usetype,qty=40"																													r24																																																										0
	1			0	18	70	42		1	s24							"usetype,qty=41"																													r24																																																										0
	1			0	18	70	43		1	s24							"usetype,qty=42"																													r24																																																										0
	1			0	18	70	44		1	s24							"usetype,qty=43"																													r24																																																										0
	1			0	18	70	45		1	s24							"usetype,qty=44"																													r24																																																										0
	1			0	18	70	46		1	s24							"usetype,qty=45"																													r24																																																										0
	1			0	18	70	47		1	s24							"usetype,qty=46"																													r24																																																										0
	1			0	18	70	48		1	s24							"usetype,qty=47"																													r24																																																										0
	1			0	18	70	49		1	s24							"usetype,qty=48"																													r24																																																										0
	1			0	18	70	50		1	s24							"usetype,qty=49"																													r24																																																										0
	1			0	18	70	2		1	s25							"usetype,qty=1"																													r25																																																										0
	1			0	18	70	3		1	s25							"usetype,qty=2"																													r25																																																										0
	1			0	18	70	4		1	s25							"usetype,qty=3"																													r25																																																										0
	1			0	18	70	5		1	s25							"usetype,qty=4"																													r25																																																										0
	1			0	18	70	6		1	s25							"usetype,qty=5"																													r25																																																										0
	1			0	18	70	7		1	s25							"usetype,qty=6"																													r25																																																										0
	1			0	18	70	8		1	s25							"usetype,qty=7"																													r25																																																										0
	1			0	18	70	9		1	s25							"usetype,qty=8"																													r25																																																										0
	1			0	18	70	10		1	s25							"usetype,qty=9"																													r25																																																										0
	1			0	18	70	11		1	s25							"usetype,qty=10"																													r25																																																										0
	1			0	18	70	12		1	s25							"usetype,qty=11"																													r25																																																										0
	1			0	18	70	13		1	s25							"usetype,qty=12"																													r25																																																										0
	1			0	18	70	14		1	s25							"usetype,qty=13"																													r25																																																										0
	1			0	18	70	15		1	s25							"usetype,qty=14"																													r25																																																										0
	1			0	18	70	16		1	s25							"usetype,qty=15"																													r25																																																										0
	1			0	18	70	17		1	s25							"usetype,qty=16"																													r25																																																										0
	1			0	18	70	18		1	s25							"usetype,qty=17"																													r25																																																										0
	1			0	18	70	19		1	s25							"usetype,qty=18"																													r25																																																										0
	1			0	18	70	20		1	s25							"usetype,qty=19"																													r25																																																										0
	1			0	18	70	21		1	s25							"usetype,qty=20"																													r25																																																										0
	1			0	18	70	22		1	s25							"usetype,qty=21"																													r25																																																										0
	1			0	18	70	23		1	s25							"usetype,qty=22"																													r25																																																										0
	1			0	18	70	24		1	s25							"usetype,qty=23"																													r25																																																										0
	1			0	18	70	25		1	s25							"usetype,qty=24"																													r25																																																										0
	1			0	18	70	26		1	s25							"usetype,qty=25"																													r25																																																										0
	1			0	18	70	27		1	s25							"usetype,qty=26"																													r25																																																										0
	1			0	18	70	28		1	s25							"usetype,qty=27"																													r25																																																										0
	1			0	18	70	29		1	s25							"usetype,qty=28"																													r25																																																										0
	1			0	18	70	30		1	s25							"usetype,qty=29"																													r25																																																										0
	1			0	18	70	31		1	s25							"usetype,qty=30"																													r25																																																										0
	1			0	18	70	32		1	s25							"usetype,qty=31"																													r25																																																										0
	1			0	18	70	33		1	s25							"usetype,qty=32"																													r25																																																										0
	1			0	18	70	34		1	s25							"usetype,qty=33"																													r25																																																										0
	1			0	18	70	35		1	s25							"usetype,qty=34"																													r25																																																										0
	1			0	18	70	36		1	s25							"usetype,qty=35"																													r25																																																										0
	1			0	18	70	37		1	s25							"usetype,qty=36"																													r25																																																										0
	1			0	18	70	38		1	s25							"usetype,qty=37"																													r25																																																										0
	1			0	18	70	39		1	s25							"usetype,qty=38"																													r25																																																										0
	1			0	18	70	40		1	s25							"usetype,qty=39"																													r25																																																										0
	1			0	18	70	41		1	s25							"usetype,qty=40"																													r25																																																										0
