Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	*eol
Act 1 (N) Citem A	11	38	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (N) Equip A	37	Act 1 (N) Good	4																				0
Act 1 (N) Citem B	11	40	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (N) Equip B	37	Act 1 (N) Good	4																				0
Act 1 (N) Citem C	11	41	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (N) Equip B	37	Act 1 (N) Good	4																				0
Act 2 (N) Citem A	11	42	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (N) Equip A	37	Act 2 (N) Good	4																				0
Act 2 (N) Citem B	11	44	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (N) Equip B	37	Act 2 (N) Good	4																				0
Act 2 (N) Citem C	11	45	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (N) Equip B	37	Act 2 (N) Good	4																				0
Act 3 (N) Citem A	11	46	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (N) Equip A	37	Act 3 (N) Good	4																				0
Act 3 (N) Citem B	11	48	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (N) Equip B	37	Act 3 (N) Good	4																				0
Act 3 (N) Citem C	11	50	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (N) Equip B	37	Act 3 (N) Good	4																				0
Act 4 (N) Citem A	11	51	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 (N) Equip A	37	Act 4 (N) Good	4																				0
Act 4 (N) Citem B	11	54	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 (N) Equip B	37	Act 4 (N) Good	4																				0
Act 5 (N) Citem A	11	57	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (N) Equip A	37	Act 5 (N) Good	4																				0
Act 5 (N) Citem B	11	60	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (N) Equip B	37	Act 5 (N) Good	4																				0
Act 5 (N) Citem C	11	62	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (N) Equip C	37	Act 5 (N) Good	4																				0
Act 1 (H) Citem A	11	63	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (H) Equip A	37	Act 1 (H) Good	4																				0
Act 1 (H) Citem B	11	66	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (H) Equip B	37	Act 1 (H) Good	4																				0
Act 1 (H) Citem C	11	68	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 (H) Equip B	37	Act 1 (H) Good	4																				0
Act 2 (H) Citem A	11	69	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (H) Equip A	37	Act 2 (H) Good	4																				0
Act 2 (H) Citem B	11	71	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (H) Equip B	37	Act 2 (H) Good	4																				0
Act 2 (H) Citem C	11	72	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 (H) Equip B	37	Act 2 (H) Good	4																				0
Act 3 (H) Citem A	11	74	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (H) Equip A	37	Act 3 (H) Good	4																				0
Act 3 (H) Citem B	11	75	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (H) Equip B	37	Act 3 (H) Good	4																				0
Act 3 (H) Citem C	11	77	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 (H) Equip B	37	Act 3 (H) Good	4																				0
Act 4 (H) Citem A	11	78	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 (H) Equip A	37	Act 4 (H) Good	4																				0
Act 4 (H) Citem B	11	80	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 (H) Equip B	37	Act 4 (H) Good	4																				0
Act 5 (H) Citem A	11	81	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (H) Equip A	37	Act 5 (H) Good	4																				0
Act 5 (H) Citem B	11	83	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (H) Equip B	37	Act 5 (H) Good	4																				0
Act 5 (H) Citem C	11	85	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 (H) Equip C	37	Act 5 (H) Good	4																				0
Act 1 Champ A	13	0	-2					0	Act 1 Citem A	1	Potion 0	2																						0
Act 1 Champ B	13	5	-2					0	Act 1 Citem B	1	Potion 0	1																						0
Act 1 Champ C	13	9	-2					0	Act 1 Citem C	1	Potion 0	1																						0
Act 2 Champ A	13	12	-2					0	Act 2 Citem A	1	Potion 0	1																						0
Act 2 Champ B	13	15	-2					0	Act 2 Citem B	1	Potion 0	1																						0
Act 2 Champ C	13	18	-2					0	Act 2 Citem C	1	Potion 0	1																						0
Act 3 Champ A	13	20	-2					0	Act 3 Citem A	1	Potion 0	1																						0
Act 3 Champ B	13	22	-2					0	Act 3 Citem B	1	Potion 0	1																						0
Act 3 Champ C	13	24	-2					0	Act 3 Citem C	1	Potion 0	1																						0
Act 4 Champ A	13	26	-2					0	Act 4 Citem A	1	Potion 1	1																						0
Act 4 Champ B	13	29	-2					0	Act 4 Citem B	1	Potion 1	1																						0
Act 5 Champ A	13	32	-2					0	Act 5 Citem A	1	Potion 1	1																						0
Act 5 Champ B	13	34	-2					0	Act 5 Citem B	1	Potion 1	1																						0
Act 5 Champ C	13	36	-2					0	Act 5 Citem C	1	Potion 1	1																						0
Act 1 (N) Champ A	13	38	-2					0	Act 1 (N) Citem A	1	Potion 2	2																						0
Act 1 (N) Champ B	13	40	-2					0	Act 1 (N) Citem B	1	Potion 2	2																						0
Act 1 (N) Champ C	13	41	-2					0	Act 1 (N) Citem C	1	Potion 2	2																						0
Act 2 (N) Champ A	13	42	-2					0	Act 2 (N) Citem A	1	Potion 2	2																						0
Act 2 (N) Champ B	13	44	-2					0	Act 2 (N) Citem B	1	Potion 2	2																						0
Act 2 (N) Champ C	13	45	-2					0	Act 2 (N) Citem C	1	Potion 2	2																						0
Act 3 (N) Champ A	13	46	-2					0	Act 3 (N) Citem A	1	Potion 2	2																						0
Act 3 (N) Champ B	13	48	-2					0	Act 3 (N) Citem B	1	Potion 2	2																						0
Act 3 (N) Champ C	13	50	-2					0	Act 3 (N) Citem C	1	Potion 2	2																						0
Act 4 (N) Champ A	13	51	-2					0	Act 4 (N) Citem A	1	Potion 2	2																						0
Act 4 (N) Champ B	13	54	-2					0	Act 4 (N) Citem B	1	Potion 2	2																						0
Act 4 (N) Champ C	13	56	-2					0	Act 4 (N) Citem B	1	Potion 2	2																						0
Act 5 (N) Champ A	13	57	-2					0	Act 5 (N) Citem A	1	Potion 2	2																						0
Act 5 (N) Champ B	13	60	-2					0	Act 5 (N) Citem B	1	Potion 2	2																						0
Act 5 (N) Champ C	13	62	-2					0	Act 5 (N) Citem C	1	Potion 2	2																						0
Act 1 (H) Champ A	13	63	-2					0	Act 1 (H) Citem A	1	Potion 2	3																						0
Act 1 (H) Champ B	13	66	-2					0	Act 1 (H) Citem B	1	Potion 2	3																						0
Act 1 (H) Champ C	13	68	-2					0	Act 1 (H) Citem C	1	Potion 2	3																						0
Act 2 (H) Champ A	13	69	-2					0	Act 2 (H) Citem A	1	Potion 2	3																						0
Act 2 (H) Champ B	13	71	-2					0	Act 2 (H) Citem B	1	Potion 2	3																						0
Act 2 (H) Champ C	13	72	-2					0	Act 2 (H) Citem C	1	Potion 2	3																						0
Act 3 (H) Champ A	13	74	-2					0	Act 3 (H) Citem A	1	Potion 2	3																						0
Act 3 (H) Champ B	13	75	-2					0	Act 3 (H) Citem B	1	Potion 2	3																						0
Act 3 (H) Champ C	13	77	-2					0	Act 3 (H) Citem C	1	Potion 2	3																						0
Act 4 (H) Champ A	13	78	-2					0	Act 4 (H) Citem A	1	Potion 2	3																						0
Act 4 (H) Champ B	13	80	-2					0	Act 4 (H) Citem B	1	Potion 2	3																						0
Act 5 (H) Champ A	13	81	-2					0	Act 5 (H) Citem A	1	Potion 2	3																						0
Act 5 (H) Champ B	13	83	-2					0	Act 5 (H) Citem B	1	Potion 2	3																						0
Act 5 (H) Champ C	13	85	-2					0	Act 5 (H) Citem C	1	Potion 2	3																						0
Act 1 Uitem A	14	0	1	800	800	800	1024	0	Act 1 Equip A	58	Act 1 Good	4																						0
Act 1 Uitem B	14	5	1	800	800	800	1024	0	Act 1 Equip B	58	Act 1 Good	4																						0
Act 1 Uitem C	14	9	1	800	800	800	1024	0	Act 1 Equip C	58	Act 1 Good	4																						0
Act 2 Uitem A	14	12	1	800	800	800	1024	0	Act 2 Equip A	58	Act 2 Good	4																						0
Act 2 Uitem B	14	15	1	800	800	800	1024	0	Act 2 Equip B	58	Act 2 Good	4																						0
Act 2 Uitem C	14	18	1	800	800	800	1024	0	Act 2 Equip C	58	Act 3 Good	4																						0
Act 3 Uitem A	14	20	1	800	800	800	1024	0	Act 3 Equip A	58	Act 3 Good	4																						0
Act 3 Uitem B	14	22	1	800	800	800	1024	0	Act 3 Equip B	58	Act 3 Good	4																						0
Act 3 Uitem C	14	24	1	800	800	800	1024	0	Act 3 Equip C	58	Act 3 Good	4																						0
Act 4 Uitem A	14	26	1	800	800	800	1024	0	Act 4 Equip A	58	Act 4 Good	4																						0
Act 4 Uitem B	14	29	1	800	800	800	1024	0	Act 4 Equip B	58	Act 4 Good	4																						0
Act 5 Uitem A	14	32	1	800	800	800	1024	0	Act 5 Equip A	58	Act 5 Good	4																						0
Act 5 Uitem B	14	34	1	800	800	800	1024	0	Act 5 Equip B	58	Act 5 Good	4																						0
Act 5 Uitem C	14	36	1	800	800	800	1024	0	Act 5 Equip C	58	Act 5 Good	4																						0
Act 1 (N) Uitem A	14	38	1	800	800	800	1024	0	Act 1 (N) Equip A	58	Act 1 (N) Good	4																						0
Act 1 (N) Uitem B	14	40	1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																						0
Act 1 (N) Uitem C	14	41	1	800	800	800	1024	0	Act 1 (N) Equip B	58	Act 1 (N) Good	4																						0
Act 2 (N) Uitem A	14	42	1	800	800	800	1024	0	Act 2 (N) Equip A	58	Act 2 (N) Good	4																						0
Act 2 (N) Uitem B	14	44	1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																						0
Act 2 (N) Uitem C	14	45	1	800	800	800	1024	0	Act 2 (N) Equip B	58	Act 2 (N) Good	4																						0
Act 3 (N) Uitem A	14	46	1	800	800	800	1024	0	Act 3 (N) Equip A	58	Act 3 (N) Good	4																						0
Act 3 (N) Uitem B	14	48	1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																						0
Act 3 (N) Uitem C	14	50	1	800	800	800	1024	0	Act 3 (N) Equip B	58	Act 3 (N) Good	4																						0
Act 4 (N) Uitem A	14	51	1	800	800	800	1024	0	Act 4 (N) Equip A	58	Act 4 (N) Good	4																						0
Act 4 (N) Uitem B	14	54	1	800	800	800	1024	0	Act 4 (N) Equip B	58	Act 4 (N) Good	4																						0
Act 5 (N) Uitem A	14	57	1	800	800	800	1024	0	Act 5 (N) Equip A	58	Act 5 (N) Good	4																						0
Act 5 (N) Uitem B	14	60	1	800	800	800	1024	0	Act 5 (N) Equip B	58	Act 5 (N) Good	4																						0
Act 5 (N) Uitem C	14	62	1	800	800	800	1024	0	Act 5 (N) Equip C	58	Act 5 (N) Good	4																						0
Act 1 (H) Uitem A	14	63	1	800	800	800	1024	0	Act 1 (H) Equip A	58	Act 1 (H) Good	4																						0
Act 1 (H) Uitem B	14	66	1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																						0
Act 1 (H) Uitem C	14	68	1	800	800	800	1024	0	Act 1 (H) Equip B	58	Act 1 (H) Good	4																						0
Act 2 (H) Uitem A	14	69	1	800	800	800	1024	0	Act 2 (H) Equip A	58	Act 2 (H) Good	4																						0
Act 2 (H) Uitem B	14	71	1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																						0
Act 2 (H) Uitem C	14	72	1	800	800	800	1024	0	Act 2 (H) Equip B	58	Act 2 (H) Good	4																						0
Act 3 (H) Uitem A	14	74	1	800	800	800	1024	0	Act 3 (H) Equip A	58	Act 3 (H) Good	4																						0
Act 3 (H) Uitem B	14	75	1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																						0
Act 3 (H) Uitem C	14	77	1	800	800	800	1024	0	Act 3 (H) Equip B	58	Act 3 (H) Good	4																						0
Act 4 (H) Uitem A	14	78	1	800	800	800	1024	0	Act 4 (H) Equip A	58	Act 4 (H) Good	4																						0
Act 4 (H) Uitem B	14	80	1	800	800	800	1024	0	Act 4 (H) Equip B	58	Act 4 (H) Good	4																						0
Act 5 (H) Uitem A	14	81	1	800	800	800	1024	0	Act 5 (H) Equip A	58	Act 5 (H) Good	4																						0
Act 5 (H) Uitem B	14	83	1	800	800	800	1024	0	Act 5 (H) Equip B	58	Act 5 (H) Good	4																						0
Act 5 (H) Uitem C	14	85	1	800	800	800	1024	0	Act 5 (H) Equip C	58	Act 5 (H) Good	4																						0
Act 1 Unique A	15	0	-3					0	Act 1 Uitem A	10	Junk	5																						0
Act 1 Unique B	15	5	-3					0	Act 1 Uitem B	10	Junk	5																						0
Act 1 Unique C	15	9	-3					0	Act 1 Uitem C	10	Junk	5																						0
Act 2 Unique A	15	12	-3					0	Act 2 Uitem A	10	Junk	5																						0
Act 2 Unique B	15	15	-3					0	Act 2 Uitem B	10	Junk	5																						0
Act 2 Unique C	15	18	-3					0	Act 2 Uitem C	10	Junk	5																						0
Act 3 Unique A	15	20	-3					0	Act 3 Uitem A	10	Junk	5																						0
Act 3 Unique B	15	22	-3					0	Act 3 Uitem B	10	Junk	5																						0
Act 3 Unique C	15	24	-3					0	Act 3 Uitem C	10	Junk	5																						0
Act 4 Unique A	15	26	-3					0	Act 4 Uitem A	10	Junk	5																						0
Act 4 Unique B	15	29	-3					0	Act 4 Uitem B	10	Junk	5																						0
Act 5 Unique A	15	32	-3					0	Act 5 Uitem A	10	Junk	5																						0
Act 5 Unique B	15	34	-3					0	Act 5 Uitem B	10	Junk	5																						0
Act 5 Unique C	15	36	-3					0	Act 5 Uitem C	10	Junk	5																						0
Act 1 (N) Unique A	15	38	-3					0	Act 1 (N) Uitem A	10	Junk (N)	5																						0
Act 1 (N) Unique B	15	40	-3					0	Act 1 (N) Uitem B	10	Junk (N)	5																						0
Act 1 (N) Unique C	15	41	-3					0	Act 1 (N) Uitem C	10	Junk (N)	5																						0
Act 2 (N) Unique A	15	42	-3					0	Act 2 (N) Uitem A	10	Junk (N)	5																						0
Act 2 (N) Unique B	15	44	-3					0	Act 2 (N) Uitem B	10	Junk (N)	5																						0
Act 2 (N) Unique C	15	45	-3					0	Act 2 (N) Uitem C	10	Junk (N)	5																						0
Act 3 (N) Unique A	15	46	-3					0	Act 3 (N) Uitem A	10	Junk (N)	5																						0
Act 3 (N) Unique B	15	48	-3					0	Act 3 (N) Uitem B	10	Junk (N)	5																						0
Act 3 (N) Unique C	15	50	-3					0	Act 3 (N) Uitem C	10	Junk (N)	5																						0
Act 4 (N) Unique A	15	51	-3					0	Act 4 (N) Uitem A	10	Junk (N)	5																						0
Act 4 (N) Unique B	15	54	-3					0	Act 4 (N) Uitem B	10	Junk (N)	5																						0
Act 5 (N) Unique A	15	57	-3					0	Act 5 (N) Uitem A	10	Junk (N)	5																						0
Act 5 (N) Unique B	15	60	-3					0	Act 5 (N) Uitem B	10	Junk (N)	5																						0
Act 5 (N) Unique C	15	62	-3					0	Act 5 (N) Uitem C	10	Junk (N)	5																						0
Act 1 (H) Unique A	15	63	-3					0	Act 1 (H) Uitem A	10	Junk (H)	5																						0
Act 1 (H) Unique B	15	66	-3					0	Act 1 (H) Uitem B	10	Junk (H)	5																						0
Act 1 (H) Unique C	15	68	-3					0	Act 1 (H) Uitem C	10	Junk (H)	5																						0
Act 2 (H) Unique A	15	69	-3					0	Act 2 (H) Uitem A	10	Junk (H)	5																						0
Act 2 (H) Unique B	15	71	-3					0	Act 2 (H) Uitem B	10	Junk (H)	5																						0
Act 2 (H) Unique C	15	72	-3					0	Act 2 (H) Uitem C	10	Junk (H)	5																						0
Act 3 (H) Unique A	15	74	-3					0	Act 3 (H) Uitem A	10	Junk (H)	5																						0
Act 3 (H) Unique B	15	75	-3					0	Act 3 (H) Uitem B	10	Junk (H)	5																						0
Act 3 (H) Unique C	15	77	-3					0	Act 3 (H) Uitem C	10	Junk (H)	5																						0
Act 4 (H) Unique A	15	78	-3					0	Act 4 (H) Uitem A	10	Junk (H)	5																						0
Act 4 (H) Unique B	15	80	-3					0	Act 4 (H) Uitem B	10	Junk (H)	5																						0
Act 5 (H) Unique A	15	81	-3					0	Act 5 (H) Uitem A	10	Junk (H)	5																						0
Act 5 (H) Unique B	15	83	-3					0	Act 5 (H) Uitem B	10	Junk (H)	5																						0
Act 5 (H) Unique C	15	85	-3					0	Act 5 (H) Uitem C	10	Junk (H)	5																						0
Quill 1	16	0	1					125	gld	19	Junk	19																						0
Quill 2	16	4	1					125	gld	19	Junk	19																						0
Quill 3	16	8	1					125	gld	19	Junk	19	Act 1 Good	4																				0
Quill 4	16	12	1					125	gld	19	Junk	19	Act 1 Good	4																				0
Quill 5	16	20	1					125	gld	19	Junk	19	Act 3 Good	4																				0
Quill 1 (N)	16	32	1					125	gld	19	Junk (N)	19																						0
Quill 2 (N)	16	35	1					125	gld	19	Junk (N)	19	Act 1 (N) Good	4																				0
Quill 3 (N)	16	38	1					125	gld	19	Junk (N)	19	Act 1 (N) Good	4																				0
Quill 4 (N)	16	40	1					125	gld	19	Junk (N)	19	Act 1 (N) Good	4																				0
Quill 5 (N)	16	46	1					125	gld	19	Junk (N)	19	Act 3 (N) Good	4																				0
Quill 1 (H)	16	60	1					125	gld	19	Junk (H)	19																						0
Quill 2 (H)	16	62	1					125	gld	19	Junk (H)	19	Act 1 (H) Good	4																				0
Quill 3 (H)	16	65	1					125	gld	19	Junk (H)	19	Act 1 (H) Good	4																				0
Quill 4 (H)	16	68	1					125	gld	19	Junk (H)	19	Act 1 (H) Good	4																				0
Quill 5 (H)	16	85	1					125	gld	19	Junk (H)	19	Act 3 (H) Good	4																				0
Swarm 1	17	0	1					125	Potion 0	12	Misc 0	2	Act 2 Good	4																				0
Swarm 2	17	20	1					125	Potion 1	12	Misc 0	2	Act 3 Good	4																				0
Swarm 1 (N)	17	40	1					125	Potion 2	12	Misc 1	2	Act 2 (N) Good	4																				0
Swarm 2 (N)	17	46	1					125	Potion 2	12	Misc 1	2	Act 3 (N) Good	4																				0
Swarm 1 (H)	17	68	1					125	Potion 2	12	Misc 2	2	Act 2 (H) Good	4																				0
Swarm 2 (H)	17	74	1					125	Potion 2	12	Misc 2	2	Act 3 (H) Good	4																				0
Sunder Charms			1					400	sg1	15	sg2	15	sg3	5	sg4	5	sg5	5	sg6	5													2	0
Andariel			6	995	995	1024	1024	10	Act 2 Equip A	19	Act 2 Good	3																						0
Andariel (N)			6	995	995	1024	1024	10	Act 2 (N) Equip A	19	Act 2 (N) Good	3																						0
Andariel (H)			6	995	995	1024	1024	10	Act 2 (H) Equip A	19	Act 2 (H) Good	3	ses	1																				0
Andarielq			6	995	995	1024	1024	19	Act 2 Equip A	19	Act 2 Good	3																						0
Andarielq Desecrated A	20	13	6	995	995	1024	1024	19	Act 2 Equip A	19	Act 2 Good	3																						0
Andarielq Desecrated B	20	32	6	995	995	1024	1024	19	Act 4 Equip B	19	Act 4 Good	3																						0
Andarielq Desecrated C	20	48	6	995	995	1024	1024	19	Act 3 (N) Equip A	19	Act 3 (N) Good	3																						0
Andarielq (N)			6	995	995	1024	1024	19	Act 2 (N) Equip A	19	Act 2 (N) Good	3																						0
Andarielq (N) Desecrated A	20	43	6	995	995	1024	1024	19	Act 2 (N) Equip A	19	Act 2 (N) Good	3	"cm5,uni"	6																				0
Andarielq (N) Desecrated B	20	57	6	995	995	1024	1024	19	Act 4 (N) Equip B	19	Act 4 (N) Good	3	"cm5,uni"	6																				0
Andarielq (N) Desecrated C	20	73	6	995	995	1024	1024	19	Act 3 (H) Equip A	19	Act 3 (H) Good	3	"cm5,uni"	6																				0
Andarielq (H)			6	995	995	1024	1024	19	Act 2 (H) Equip A	19	Act 2 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated A			6	995	995	1024	1024	19	Act 3 (H) Equip B	19	Act 3 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated B			6	995	995	1024	1024	19	Act 3 (H) Equip C	19	Act 3 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated C			6	995	995	1024	1024	19	Act 4 (H) Equip A	19	Act 4 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated D			6	995	995	1024	1024	19	Act 4 (H) Equip B	19	Act 4 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated E			6	995	995	1024	1024	19	Act 4 (H) Equip C	19	Act 4 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated F			6	995	995	1024	1024	19	Act 5 (H) Equip A	19	Act 5 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated G			6	995	995	1024	1024	19	Act 5 (H) Equip B	19	Act 5 (H) Good	3	ses	2																				0
Andarielq Item (H) Desecrated H			6	995	995	1024	1024	19	Act 5 (H) Equip C	19	Act 5 (H) Good	3	ses	2																				0
Andarielq (H) Desecrated A	20	74	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated A	20																						0
Andarielq (H) Desecrated B	20	78	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated B	20																						0
Andarielq (H) Desecrated C	20	81	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated C	20																						0
Andarielq (H) Desecrated D	20	84	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated D	20																						0
Andarielq (H) Desecrated E	20	87	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated E	20																						0
Andarielq (H) Desecrated F	20	90	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated F	20																						0
Andarielq (H) Desecrated G	20	93	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated G	20																						0
Andarielq (H) Desecrated H	20	96	2					0	Sunder Charms	3	Andarielq Item (H) Desecrated H	20																						0
Duriel - Base			6	993	993	1024	1024	10	Act 3 Equip A	19	Act 3 Good	3																						0
Duriel - Base Desecrated A			6	993	993	1024	1024	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Good	3																				0
Duriel - Base Desecrated B			6	993	993	1024	1024	19	"gld,mul=1280"	11	Act 5 Equip B	19	Act 5 Good	3																				0
Duriel - Base Desecrated C			6	993	993	1024	1024	19	"gld,mul=1280"	11	Act 3 (N) Equip A	19	Act 3 (N) Good	3																				0
Duriel (N) - Base			6	993	993	1024	1024	10	Act 3 (N) Equip A	19	Act 3 (N) Good	3																						0
Duriel (N) - Base Desecrated A			6	993	993	1024	1024	19	"gld,mul=1536"	11	Act 4 (N) Equip A	19	Act 4 (N) Good	3	"cm5,uni"	6																		0
Duriel (N) - Base Desecrated B			6	993	993	1024	1024	19	"gld,mul=1536"	11	Act 5 (N) Equip B	19	Act 5 (N) Good	3	"cm5,uni"	6																		0
Duriel (N) - Base Desecrated C			6	993	993	1024	1024	19	"gld,mul=1536"	11	Act 3 (H) Equip A	19	Act 3 (H) Good	3	"cm5,uni"	6																		0
Duriel (H) - Base			6	993	993	1024	1024	10	Act 3 (H) Equip A	19	Act 3 (H) Good	3	ses	2																				0
Duriel (H) - Base Desecrated A			6	993	993	1024	1024	19	"gld,mul=2048"	11	Act 4 (H) Equip B	19	Act 4 (H) Good	3	ses	2																		0
Duriel (H) - Base Desecrated B			6	993	993	1024	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip A	19	Act 5 (H) Good	3	ses	2																		0
Duriel (H) - Base Desecrated C			6	993	993	1024	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip B	19	Act 5 (H) Good	3	ses	2																		0
Duriel (H) - Base Desecrated D			6	993	993	1024	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip C	19	Act 5 (H) Good	3	ses	2																		0
Radament			5	900	900	900	1024	10	gld,mul=1280	11	Act 3 Equip B	19	Act 3 Good	15																				0
Radament Desecrated A	21	19	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 3 Equip B	19	Act 3 Good	3																				0
Radament Desecrated B	21	33	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 4 Equip B	19	Act 4 Good	3																				0
Radament Desecrated C	21	48	5	900	900	900	1024	19	"gld,mul=1280"	11	Act 3 (N) Equip A	19	Act 3 (N) Good	3																				0
Radament (N)			5	900	900	900	1024	10	gld,mul=1536	11	Act 3 (N) Equip B	19	Act 3 (N) Good	15																				0
Radament (N) Desecrated A	21	52	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 3 (N) Equip C	19	Act 3 (N) Good	3																				0
Radament (N) Desecrated B	21	62	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 5 (N) Equip A	19	Act 5 (N) Good	3																				0
Radament (N) Desecrated C	21	73	5	900	900	900	1024	19	"gld,mul=1536"	11	Act 3 (H) Equip A	19	Act 3 (H) Good	3																				0
Radament (H)			5	900	900	900	1024	10	gld,mul=2048	11	Act 3 (H) Equip C	19	Act 3 (H) Good	15																				0
Radament Item (H) Desecrated A			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 4 (H) Equip B	19	Act 4 (H) Good	3																				0
Radament Item (H) Desecrated B			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip A	19	Act 5 (H) Good	3																				0
Radament Item (H) Desecrated C			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip B	19	Act 5 (H) Good	3																				0
Radament Item (H) Desecrated D			5	900	900	900	1024	19	"gld,mul=2048"	11	Act 5 (H) Equip C	19	Act 5 (H) Good	3																				0
Radament (H) Desecrated A	21	86	2					0	CFN Gems	5	Radament Item (H) Desecrated A	20																						0
Radament (H) Desecrated B	21	90	2					0	CFN Gems	5	Radament Item (H) Desecrated B	20																						0
Radament (H) Desecrated C	21	93	2					0	CFN Gems	5	Radament Item (H) Desecrated C	20																						0
Radament (H) Desecrated D	21	96	2					0	CFN Gems	5	Radament Item (H) Desecrated D	20																						0
Flying Scimitar			1					95	Act 2 Good	3	scm	57																						0
Flying Scimitar (N)			1					95	Act 2 (N) Good	3	9sm	32																						0
Flying Scimitar (H)			1					95	Act 2 (H) Good	3	7sm	32																						0
Mephisto			6	993	993	1024	1024	10	Act 4 Equip A	52	Act 4 Good	3																						0
Mephisto Desecrated A	22	26	6	993	993	1024	1024	15	"gld,mul=1280"	5	Act 4 Equip A	52	Act 4 Good	3																				0
Mephisto Desecrated B	22	38	6	993	993	1024	1024	15	"gld,mul=1280"	5	Act 5 Equip C	52	Act 5 Good	3																				0
Mephisto Desecrated C	22	48	6	993	993	1024	1024	15	"gld,mul=1280"	5	Act 3 (N) Equip A	52	Act 3 (N) Good	3																				0
Mephisto (N)			6	993	993	1024	1024	10	"gld,mul=1536"	5	Act 4 (N) Equip A	52	Act 4 (N) Good	3																				0
Mephisto (N) Desecrated A	22	59	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 4 (N) Equip B	52	Act 4 (N) Good	3	"cm5,uni"	6																		0
Mephisto (N) Desecrated B	22	66	6	993	993	1024	1024	15	"gld,mul=1536"	5	Act 5 (N) Equip C	52	Act 5 (N) Good	3	"cm5,uni"	6																		0
