Log started at Thu Sep 21 2023 22:17:32 GMT+0200 (Centraleuropæisk sommertid)
WARN	Basic/NoDuplicateExcel	itemtypes.txt - duplicate detected on lines 93 and 238 for field 'code' (ncha)
WARN	Cube/ValidInputs	cubemain.txt, line 3335: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3335: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3335: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3336: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3337: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3337: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3337: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3338: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Sapphire -> Hitpower Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3339: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3339: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3339: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3340: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3341: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3341: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3341: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3342: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ral Rune + Perfect Sapphire -> Hitpower Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3343: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3343: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3343: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3344: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3345: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3345: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3345: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3346: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Sapphire -> Hitpower Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3347: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3347: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3347: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3348: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3349: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3349: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3349: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3350: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Sapphire -> Hitpower Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3351: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3351: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3351: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3352: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3353: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3353: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3353: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3354: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Sapphire -> Hitpower Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3355: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3355: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3355: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3356: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3357: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3357: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3357: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3358: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Nef Rune + Perfect Sapphire -> Hitpower Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3359: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Sapphire -> Hitpower Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3359: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Sapphire -> Hitpower Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3359: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Sapphire -> Hitpower Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3360: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Sapphire -> Hitpower Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3361: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Sapphire -> Hitpower Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3361: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Sapphire -> Hitpower Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3361: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Sapphire -> Hitpower Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3362: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Sapphire -> Hitpower Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3363: couldn't find 'miss,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3363: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3363: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3364: couldn't find 'miss,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3365: couldn't find 'miss,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3365: couldn't find 'r04,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3365: couldn't find 'gpv,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3366: couldn't find 'miss,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Sapphire -> Hitpower Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3368: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3368: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3368: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3369: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3370: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3370: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3370: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3371: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Spectral Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3372: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3372: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3372: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3373: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3374: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3374: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3374: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3375: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Spectral Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3376: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3376: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3376: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3377: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3378: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3378: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3378: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3379: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Spectral Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3380: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3380: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3380: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3381: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3382: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3382: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3382: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3383: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Spectral Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3384: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Skull -> Spectral Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3384: couldn't find 'r03,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Skull -> Spectral Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3384: couldn't find 'skz,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Skull -> Spectral Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
